"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"1/20/2026 4:01 pm","18101058064863848","Instagram","Post","Photo","patron","https://www.instagram.com/p/DTvy_W9idfL/","This awards season, PATRÓN is raising the bar. Celebrate music’s most iconic night with The Golden Record – the Official Cocktail of the 2026 grammys and watch along on Sunday, February 1st.  
 
1.5 oz PATRÓN El ALTO
1 oz Martini & Rossi Prosecco
.5 oz Fino Sherry Tio Pepe
2 oz Pear Cordial
Dash of Bergamot Bitters
 
The perfect way to enjoy PATRÓN is responsibly. www.responsibility.org ©2026. PATRÓN EL ALTO, its trade dress and the bee logo are trademarks. Handcrafted in Mexico. Imported by the PATRÓN Spirits Company, Coral Gables, FL. Tequila – 40% alc. by vol.

#PATRONELALTO #PATRONxGRAMMYS","","729","718","11",""
"1/21/2026 3:30 pm","17861315010510824","Instagram","Post","Carousel","casamigos","https://www.instagram.com/p/DTyUWB7FR5O/","Next stop, Park City 🎬❄️","","618","591","27",""
"1/23/2026 2:35 pm","17966428283974861","Instagram","Reel","Video","espolontequila","https://www.instagram.com/reel/DT3XkLZEj3f/","Fresh juice. Bright flavors. No shortcuts.
eltragodeldia shows how his perfect Paloma starts (and ends) with Espolòn. 🐓🍋‍🟩
‍
Recipe
2 oz Espolòn Blanco
2 oz fresh grapefruit juice
1 oz fresh lime juice
0.5 oz agave syrup
Grapefruit soda to top
Black salt rim
Shake with ice, strain over ice, top with soda, garnish with grapefruit and lime.
#ad #EspolonPartner","","601","587","14",""
"1/27/2026 6:51 pm","18250993372291006","Instagram","Post","Photo","patron","https://www.instagram.com/p/DUCIBCiFsrO/","Celebrate the best in music with the best of tequila. 

PATRÓN is the official tequila partner of the GRAMMY Awards. 

#PATRONxGRAMMYS #PATRONELALTO","","589","582","7",""
"1/29/2026 4:01 pm","18091701559818754","Instagram","Reel","Video","patron","https://www.instagram.com/reel/DUG-GouDCrT/","The signature cork pop is coming. Stay tuned. mustard #PATRONxGRAMMYS","","583","554","29",""
"1/12/2026 5:03 pm","17951992805931564","Instagram","Post","Photo","patron","https://www.instagram.com/p/DTbT0BqlkTl/","Aged naturally. PATRÓN Reposado is crafted in oak barrels to develop its distinctly smooth taste.

#PATRÓNTequila #PATRÓNReposado","","571","564","7",""
"1/31/2026 4:06 pm","17862712956578938","Instagram","Post","Carousel","patron","https://www.instagram.com/p/DUMIYXejyrF/","Quiet on set? Not with mustard. Thanks for making our PATRÓN El ALTO cork pop really pop. #PATRONxGRAMMYS","","392","381","11",""
"1/21/2026 4:16 pm","18073094084526339","Instagram","Post","Photo","teremana","https://www.instagram.com/p/DTyZf1ckUG_/","Just saying","","359","352","7",""
"1/5/2026 6:01 pm","18388034962182136","Instagram","Reel","Video","teremana","https://www.instagram.com/reel/DTJYxaKDSND/","Some resolutions are meant to be revisited","","310","297","13",""
"1/7/2026 6:35 pm","17906678409305985","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DTOmTuAk408/","Proof margaritas aren't just for summer​ 🍋❄️

Anything Goes With My Casamigos","","307","297","10",""
"1/31/2026 2:00 pm","18110881066656882","Instagram","Reel","Video","espolontequila","https://www.instagram.com/reel/DUL5WMmkmwF/","The fit changes, the boldness doesn’t. Espolòn remains the main character.","","300","269","31",""
"1/9/2026 2:26 pm","18060192842316452","Instagram","Reel","Video","espolontequila","https://www.instagram.com/reel/DTTTT5_kkSc/","Inspired by our Posada world, reimagined by danyboydoid. That’s the collab. 😮‍💨☠️","","264","251","13",""
"1/9/2026 6:34 pm","17878588686452399","Instagram","Reel","Video","teremana","https://www.instagram.com/reel/DTTvpVqDTHR/","calling alllll fans of flavor🍗🍹Teremana & Wingstop are partnering this football season to push the boundaries of flavor🔥

so tell us, what‘s your wing & marg combo?👀","","238","206","32",""
"1/16/2026 2:24 pm","18422138215186470","Instagram","Post","Photo","espolontequila","https://www.instagram.com/p/DTlUwkyEmRO/","The internet decided 2026 is the new 2016. Iconic behavior.","","232","219","13",""
"1/27/2026 3:38 pm","18553059493043976","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DUBxYVHk52w/","Roll The Credits

taogrouphospitality","","207","189","18",""
"1/13/2026 3:12 pm","17953957658920562","Instagram","Reel","Video","casamigos","https://www.instagram.com/reel/DTdrzf7iBvE/","Our winter cocktail lineup starts here. 
Find the recipes at the link in bio 🥃","","200","191","9",""
"1/11/2026 10:04 am","17991704255911907","Instagram","Reel","Video","teremana","https://www.instagram.com/reel/DTX-9PBjYH-/","When the occasion calls for something golden✨","","193","187","6",""
"1/8/2026 4:46 pm","17951398014062990","Instagram","Post","Photo","espolontequila","https://www.instagram.com/p/DTQ-tPxkv79/","Your 2026 vibe in 3 words 👀 go","","116","90","26",""
"1/21/2026 4:36 pm","17884262490328518","Instagram","Post","Carousel","espolontequila","https://www.instagram.com/p/DTyb5QqEuDc/","We’re not doing “new year, new me”. We’re doing “same me, better plot development”. Salud!  🔮🥂","","115","113","2",""
"1/9/2026 2:56 pm","18139469719475311","Instagram","Post","Photo","casamigos","https://www.instagram.com/p/DTTW2plAboY/","Après starts with margs - made from 100% Blue Weber agave.","","112","111","1",""
"1/23/2026 2:06 pm","18549754189019549","Instagram","Reel","Video","teremana","https://www.instagram.com/reel/DT3UNQFEcI8/","And I forgot my umbrella at home","","105","94","11",""
"1/29/2026 3:52 pm","18101580169859096","Instagram","Post","Carousel","casamigos","https://www.instagram.com/p/DUG9IGxE7Ac/","Scenes from Sundance","","16","0","16",""
